Code,Name,FirstLine,Remarks,Key
1-Y0101,一件禮物,有一件禮物你收到沒有,,C
1-Y0102,一顆不變心,牽我心牽我手,BY TTK,C
1-Y0103,一生不枉過,為何忘掉那日,,A
1-Y0104,一生愛你,親愛的寶貴耶穌,,E
1-Y0105,一首讚美的詩歌,讓那讚美的聲音,,C
1-Y0106,一生不會捨棄你,主是何等的重要,,D
1-Y0107,一粒麥子,一粒麥子它若不落在地裡死了,,Dm
2-S0101,十字架永是我的榮耀,主我來就十字架,副歌：十字架十字架,F
2-S0102,十架背後,凝望昂十架的背後,BY TTK,D
2-S0103,十架的冠冕,路是難走,,G
2-S0104,十字架,,,G
2-S0105,十架的愛,謙卑的君王榮耀的君王,,D
2-Y0101,人算什麼,人算什麼你竟看顧,,C
2-Y0102,人算甚麼,耶和華我們的主,,D
3-F0101,凡事都能做,信是未曾看見,,G
3-F0102,凡事謙虛,凡事謙虛溫柔忍耐,,F
3-G0101,工人的禱告,獻上一生為昂而活,,G
3-S0101,三一神,三一神我要深愛你,,G
3-S0201,上帝聽禱告,誰了解此時我心正淚流像火燙,,Gm
3-X0101,小寶貝,耶穌一見你寶貝就歡笑,,E
4-B0101,不要只風聞有你,過去曾風聞有你,,Dm
4-B0102,不再是我乃是基督,現在活著的不再是我,,G
4-J0101,日日夜夜,耶和華昂大榮耀降臨,,G
4-S0101,心靈的迴響,天空裡散聚雲片片,,Dm
4-T0101,天糧,望盡是芬芳花草滿山,,F
4-T0102,天黑黑,哪管天黑黑不用去驚怕,,F
4-T0103,天離地有多麼高,天離地有多麼高 東離西有多麼遠,,C
4-T0104,天使高唱在高天,天使歌唱在高天, 聖誕用,G
4-T0105,天天歌唱,天天歌唱頌讚神慈恩,,G
4-T0106,天地讚美,地與海奏出歌韻,,G
4-Z0101,中國早晨五點鍾,中國早晨五點鍾,,F
5-C0101,充滿我,我的心惟有你我的靈渴慕你,,D
5-D0101,叮噹叮,叮噹叮，叮噹叮，歌聲與鐘聲, 聖誕用,F
5-D0201,打開天窗,願我我的禱告如香陳列在你面前,,D
5-F0101,付出的愛,每當我想起昂寶貴十架,,D
5-G0101,古老的故事,聖誕鐘聲響遍城,,A
5-G0201,叫我抬起頭的神,耶和華是我的主,,E
5-J0101,主呀我只想要你,主呀我只想要你,,D
5-J0102,主我們需要昂,主，罪人需要昂,,D
5-J0103,主我高舉你的名,主我高舉你的名,,
5-J0104,主我敬拜昂,主我敬拜昂,,F
5-J0105,主的慈愛,主昂的慈愛比生命更好,,F
5-J0106,主的愛,人若信靠救主 主旳愛赦免了罪人,,D
5-J0107,主是平安,主是平安 祂已拆?中間隔斷的牆,,F
